month,visitors,leads,customers,revenue_usd,traffic_to_lead_rate,lead_to_customer_rate
2017-08,197,138,7,70.93,0.700507614213198,0.050724637681159424
2017-09,205,143,7,58.93,0.697560975609756,0.04895104895104895
2017-10,221,133,3,57.97,0.6018099547511312,0.022556390977443608
2017-11,198,136,2,12.98,0.6868686868686869,0.014705882352941176
2017-12,197,145,6,51.94,0.7360406091370558,0.041379310344827586
2018-01,225,157,6,51.94,0.6977777777777778,0.03821656050955414
2018-02,190,127,3,30.97,0.6684210526315789,0.023622047244094488
2018-03,230,154,5,64.95,0.6695652173913044,0.032467532467532464
2018-04,208,129,4,52.96,0.6201923076923077,0.031007751937984496
2018-05,198,140,1,24.99,0.7070707070707071,0.007142857142857143
2018-06,211,139,7,65.92999999999999,0.6587677725118484,0.050359712230215826
2018-07,220,144,4,41.959999999999994,0.6545454545454545,0.027777777777777776
